"word","lemma","uni_lemma","lexical_class","aoa","aoa_fit"
"sandwich","sandwich","sandwich","nouns",25,24.0995003798186
"sauce","sauce","sauce","nouns",28,27.2655267549039
"say","say","say","verbs",28,26.5167215835935
"scared","scare","scared","adjectives",26,25.87644665734
"school","school","school","other",23,23.1080940002324
"scissors","scissor","scissors","nouns",25,25.1212138811206
"see","see","see","verbs",22,22.3150284542613
"shake","shake","shake","verbs",28,26.6729783574956
"share","share","share","verbs",27,25.7901250658535
"she","she","she","function_words",30,28.2875930756064
"sheep","sheep","sheep","nouns",23,22.938615631322
"shirt","shirt","shirt","nouns",22,21.2781820762389
"shoe","shoe","shoe","nouns",16,16
"shopping","shop","shopping","other",25,25.2570118223979
"shorts","short","shorts","nouns",25,24.3334987104473
"shoulder","shoulder","shoulder","nouns",28,26.6676155144703
"shovel","shovel","shovel","nouns",26,25.2784846196792
"show","show","show","verbs",28,26.5466342223692
"shower","shower","shower","nouns",24,23.4469921792443
"sick","sick","sick","adjectives",26,25.8829938939119
"sidewalk","sidewalk","sidewalk","nouns",28,26.9159360150226
"sing","sing","sing","verbs",24,23.9140182415306
"sink","sink","sink","nouns",25,24.7980710356894
"sister","sister","sister","other",26,26.684303048671
"sit","sit","sit","verbs",22,21.4900396517756
"sky","sky","sky","nouns",24,23.6726378284358
"sled","sled","sled","nouns",30,29.3991735445732
"sleep","sleep","sleep","verbs",22,22.3900918427864
"sleepy","sleepy","sleepy","adjectives",25,24.9362939361034
"slipper","slipper","slipper","nouns",26,26.0586122299797
"slow","slow","slow","adjectives",28,27.9908566118252
"smile","smile","smile","verbs",27,26.1684386996624
"snack","snack","snack","other",23,23.4574433942086
"snow","snow","snow","nouns",25,24.5259873438491
"snowman","snowman","snowman","nouns",27,26.5954837365261
"soap","soap","soap","nouns",22,22.0913032605759
"sock","sock","sock","nouns",22,20.1317201844354
"soft","soft","soft","adjectives",26,25.510723808383
"some","some","some","function_words",26,25.6173799874424
"soup","soup","soup","nouns",25,24.3870691203512
"spaghetti","spaghetti","pasta","nouns",24,23.8132182106369
"spill","spill","spill","verbs",26,25.8785711925843
"splash","splash","splash","verbs",25,24.8685491262573
"spoon","spoon","spoon","nouns",19,19.5817835787374
"sprinkler","sprinkler","sprinkler","nouns",28,28.2337254066747
"squirrel","squirrel","squirrel","nouns",25,24.4601189753063
"stairs","stair","stairs","nouns",25,24.3989185924568
"stand","stand","stand","verbs",26,25.6846746542935
"star","star","star","nouns",22,21.9821898217925
"stay","stay","stay","verbs",26,25.778249632909
"stick","stick","stick","nouns",24,23.875593489193
"sticky","sticky","sticky","adjectives",27,25.666365789295
"stop","stop","stop","verbs",22,22.1683461773953
"store","store","store","other",23,23.1803751058299
"story","story","story","nouns",24,24.2505841153219
"stove","stave","stove","nouns",26,25.7312143954002
"strawberry","strawberry","strawberry","nouns",23,23.5842645287439
"street","street","street","nouns",25,24.9324330427197
"stroller","stroller","stroller","nouns",25,24.6811117033459
"stuck","stick","stuck","adjectives",26,25.1393942327162
"sun","sun","sun","nouns",23,22.4585180929316
"sweater","sweater","sweater","nouns",22,23.8104715543035
"sweep","sweep","sweep","verbs",28,25.7727188623619
"swim","swim","swim","verbs",24,24.0206725929687
"table","table","table","nouns",23,23.0393046205278
"take","take","take","verbs",27,26.1765140844442
"talk","talk","talk","verbs",26,25.4012303510984
